GALLIENVS AVG,gallienvs avgvstvs
GLORIA RO_MANORVM,gloria romanorvm
S C,senatvs consvlto
GLOR_IA EXERC_ITVS,gloria exercitvs
HADRIANVS AVGVSTVS,hadrianvs avgvstvs
CONCOR_DIA AVGGG,concordia avgvstorvm
COS III,consul Ⅲ
SALVS REI_PVBLICAE,salvs rei pvblicae
DIVA FAVSTINA,diva favstina
CAESAR AVGVSTVS,caesar avgvstvs
VIRTVS AVGG,virtvs avgvstorvm
FIDES MILITVM,fides militvm
IVLIA AVGVSTA,ivlia avgvsta
VICTOR_IA AVGG,victoria avgvstorvm
FAVSTINA AVGVSTA,favstina avgvsta
CONSTAN_TINVS AVG,constantinvs avgvstvs
CAESARVM NOSTRORVM,caesarvm nostrorvm
PROVIDEN_TIAE CAESS,providentiae caesarvm
BEATA TRAN_QVILLITAS,beata tranqvillitas
ROMAE AETERNAE,romae aeternae
FORTVNA REDVX,fortvna redvx
RESTITV_TOR REIP,restitvtor rei pvblicae
VICTOR_IA AVGGG,victoria avgvstorvm
COS IIII,consul Ⅳ
IOVI CONSERVATORI,iovi conservatori
VICTORIA AVGVSTORVM,victoria avgvstorvm
PIETAS AVGG,pietas avgvstorvm
VICTORIA AVGG,victoria avgvstorvm
SPES PVBLICA,spes pvblica
MARTI CON_SERVATORI,marti conservatori
