IMP GALLIENVS AVG,imperator gallienvs avgvstvs
IMP AVRELIANVS AVG,imperator avrelianvs avgvstvs
SOLI INVIC_TO COMITI,soli invicto comiti
SEVERVS PIVS AVG,severvs pivs avgvstvs
ANTONINVS PIVS AVG,antoninvs pivs avgvstvs
CONSTANTI_NVS MAX AVG,constantinvs maximvs avgvstvs
VIRTVS _ EXERCIT,virtvs exercitvs
VIRTVS _ MILITVM,virtvs militvm
IMP DIOCLETIANVS AVG,imperator diocletianvs avgvstvs
VIRTVS PROBI AVG,virtvs probi avgvsti
VRBS _ ROMA,vrbs roma
SOLI INV_I_CTO COMITI,soli invicto comiti
IMP CONSTANTINVS AVG,imperator constantinvs avgvstvs
IMP MAXIMIANVS AVG,imperator maximianvs avgvstvs
IMP PHILIPPVS AVG,imperator philippvs avgvstvs
IMP CLAVDIVS AVG,imperator clavdivs avgvstvs
L AELIVS CAESAR,lvcivs aelivs caesar
VESTA S C,vesta senatvs consvlto
GENIO POP_VLI ROMANI,genio popvli romani
AETERNITAS S C,aeternitas senatvs consvlto
CONSECRATIO S C,consecratio senatvs consvlto
CONSTANTINVS P AVG,constantinvs pivs avgvstvs
