ADLOCVT COH,adlocvtio cohortivm
AGRIPPINA DRVSILLA IVLIA S C,agrippina drvsilla ivlia senatvs consvlto
AGRIPPINA M F MAT C CAESARIS AVGVSTI,agrippina marci filia mater caii caesaris avgvsti
AGRIPPINA MAT C CAES AVG GERM,agrippina mater caii caesaris avgvsti germanici
ARTAXIAS GERMANICVS,artaxias germanicvs
C CAESAR AVG GERM P M TR POT,caivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate
C CAESAR AVG GERM P M TR POT COS,caivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate consvl
C CAESAR AVG GERMANICVS,caivs caesar avgvstvs germanicvs
C CAESAR AVG GERMANICVS P M TR POT PIETAS,caivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate pietas
C CAESAR AVG GERMANICVS PON M TR POT,caivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate
C CAESAR AVG PON M TR POT III COS III,caivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate Ⅲ consvl Ⅲ
C CAESAR AVG PON M TR POT IIII COS IIII,caivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate Ⅳ consvl Ⅳ
C CAESAR DIVI AVG PRON AVG,caivs caesar divi avgvsti pronepos avgvstvs
C CAESAR DIVI AVG PRON AVG P M TR P III P P,caivs caesar divi avgvsti pronepos avgvstvs pontifex maximvs tribvnicia potestate Ⅲ pater patriae
C CAESAR DIVI AVG PRON AVG P M TR P IIII P P,caivs caesar divi avgvsti pronepos avgvstvs pontifex maximvs tribvnicia potestate Ⅳ pater patriae
C CAESAR DIVI AVG PRON AVG P M TR P IIII P P PIETAS,caivs caesar divi avgvsti pronepos avgvstvs pontifex maximvs tribvnicia potestate Ⅳ pater patriae pietas
C CAESAR DIVI AVG PRON AVG P M TR POT III P P,caivs caesar divi avgvsti pronepos avgvstvs pontifex maximvs tribvnicia potestate Ⅲ pater patriae
C CAESAR DIVI AVG PRON AVG P M TR POT III PP,caivs caesar divi avgvsti pronepos avgvstvs pontifex maximvs tribvnicia potestate Ⅲ pater patriae
CONSENSV SENAT ET EQ ORDIN P Q R,consensv senatvs et eqvestris ordinis popvli+qve romani
DIVO AVG S C,divo avgvsto senatvs consvlto
DIVVS AVG PATER PATRIAE,divvs avgvstvs pater patriae
DIVVS AVGVSTVS,divvs avgvstvs
DIVVS AVGVSTVS S C,divvs avgvstvs senatvs consvlto
GERMANICVS CAES P C CAES AVG GERM,germanicvs caesar pro consvl caesar avgvstvs germanicvs
GERMANICVS CAESAR,germanicvs caesar
GERMANICVS CAESAR TI AVG F COS II,germanicvs caesar tiberi avgvsti filivs consvl Ⅱ
GERMANICVS CAESAR TI AVGVST F DIVI AVG N,germanicvs caesar tiberi avgvsti filivs divi avgvsti nepos
IMPERATOR PONT MAX AVG TR POT,imperator pontifex maximvs avgvstvs tribvnicia potestae
NERO ET DRVSVS CAESARES,nero et drvsvs caesares
SIGNIS RECEPT DEVICTIS GERM S C,signis receptis devitics germanis senatvs consvlto
