AGRIPPINA AVG GERMANICI F CAESARIS AVG,agrippina avgvsta germanici filia caesaris avgvsti
AGRIPPINA AVGVSTA CAESARIS AVG,agrippina avgvsta caesaris avgvsti
AGRIPPINA AVGVSTAE,agrippinae avgvstae
AGRIPPINAE AVGVSTAE,agrippinae avgvstae
ANTONIA AVGVSTA,antonia avgvsta
CERES AVGVSTA  S C,ceres avgvsta senatvs consvlto
CONSTANTIAE AVGVSTI,constantiae avgvsti
CONSTANTIAE AVGVSTI S C,constantiae avgvsti senatvs consvlto
CONSTANTIAE AVGVSTI SC,constantiae avgvsti senatvs consvlto
COS DES PRINCI IVVENT,consvl designatvs principi ivventvtis
DE BRITANN,de brittanis
DE BRITANNIS,de britannis
DE GERM,de germanis
DE GERMANIS,de germanis
DIAN EPHE,diana ephesia
DIANA EPHESIA,diana ephesia
DIVA AVGVSTA,diva avgvsta
DIVVS AVGVSTVS S C,divvs avgvstvs
EQVESTER ORDO PRINCIPI IVVENT,eqvester ordo principi ivventvtis
GERMANICVS CAESAR TI AVG F DIVI AVG N,germanicvs caesar tiberi avgvsti filivs divi avgvsti nepos
IMPER RECEPT,imperatore recepto
L C MACRI CARTHAGO S C,lvcii clodii macri carthago senatvs consvlto
L CLODI MACR LIBERATRIX S C,lvcii clodii macri liberatrix senatvs consvlto
L CLODI MACRI,lvcii clodii macri
L CLODI MACRI CARTHAGO S C,lvcii clodii macri carthago senatvs consvlto
LIBERTAS AVGVSTA S C,libertas avgvsta senatvs consvlto
LIBERTAS AVGVSTA SC,libertas avgvsta senatvs consvlto
C RVBELLIVS BLANDUS,caivs rvbellivs blandvs
COS IMP CAESAR AVGV XI,consvl imperator caesar avgvstvs consvl ⅩⅠ
COS IMP CAESAR AVGVS XI,consvl imperator caesar avgvstvs consvl ⅩⅠ
SC,senatvs consvlto
VOT P SVSC PRO SAL ET RED I O M SACR,vota pvblica svscepta pro salvte et reditv iovi optimo maximo sacrvm
VOT P SVSC PRO SALVT ET RED I O M SACR,vota pvblica svscepta pro salvte et reditv iovi optimo maximo sacrvm
L AQVILLIVS FLORVS III VIR SICIL,lvcivs aqvillivs florvs trivmvir sicilia
S P Q R  IMP CAESARI AVG COS XI TRI POT VI,senatvs popvlvs+qve romanvs imperatori caesari avgvsto consuli ⅩⅠ tribvnicia potestate Ⅵ
AVGVR PONTIF,avgvr pontifex
AVGVST DIVI F LVDOS SAE,avgvstvs divi filivs lvdos saecvlares
CAESAR DIVI F ARMINIA CAPTA,caesar divi filivs armenia capta
CAISAR,caesar
COSSVS CN F LENTVLVS,cossvs cnaei filivs lentvlvs
