
VIRTVS AVG,virtvs avgvsti
VICTORIA AVG,victoria avgvsti
PAX AVG,pax avgvsti
SALVS AVG,salvs avgvsti
AEQVITAS AVG,aeqvitas avgvsti
PROVIDENTIA AVG,providentia avgvsti
PIETAS AVG,pietas avgvsti
LAETITIA AVG,laetitia avgvsti
PROVID AVG,providentia avgvsti
ADVENTVS AVG,adventvs avgvsti
MAXIMIANVS AVG,maximinianvs avgvstvs
DIOCLETIANVS AVG,diocletianvs avgvstvs
PAX AVGG,pax avgvstorvm
GLORI_A EXER_CITVS,gloria exercitvs
SOLI INVICTO,soli invicto
CONCORDIA AVGG,concordia avgvstorvm
AETERNITAS AVG,aeternitas avgvsti
PROVIDENT AVG,providentia avgvsti
IOVI CONSERVAT,iovi conservatori
VICTORIA AVGVSTI,victoria avgvsti
GENIVS AVG,genivs avgvsti
ANTONINVS AVGVSTVS,antoninvs avgvstvs
PROVIDEN_TIAE AVGG,providentiae avgvstorvm
VIRTVS RO_MANORVM,virtvs romanorvm
CONSTANTINVS AVG,constantinvs avgvstvs
MARS VICTOR,mars victor
IOVI CONSERVA,iovi conservatori
