S P Q R,senatvs popvlvs+qve romanvs
IMP ANTONINVS PIVS AVG,imperator antoninvs pivs avgvstvs
IVLIA PIA FELIX AVG,ivlia pia felix avgvstvs
PAX AVGVST S C,pax avgvsti senatvs consvlto
IMP MAXIMINVS PIVS AVG,imperator maximianvs pivs avgvstvs
IMP GALLIENVS P AVG,imperator gallienvs pivs avgvstvs
MAXIMIANVS P F AVG,maximianvs pivs felix avgvstvs
IMP C AVRELIANVS AVG,imperator caesar avrelianvs avgvstvs
PROVIDENTIA DEORVM QVIES AVGG,providentia deorvm qvies avgvstorvm
IMP CARAVSIVS P AVG,imperator caravsivs pivs avgvstvs
PIETAS AVG S C,pietas avgvsti senatvs consvlto
IMP C CLAVDIVS AVG,imperator caesar clavdivs avgvstvs
IMP C CARAVSIVS AVG,imperator caesar caravsivs avgvstvs
PAX AVGVSTI S C,pax avgvsti senatvs consvlto
VICTORIA AVGVSTI S C,victoria avgvsti senatvs consvlto
IMP MAXIMIANVS P AVG,imperator maximianvs pivs avgvstvs
IMP DIOCLETIANVS P AVG,imperator diocletianvs pivs avgvstvs
SPES REI _ PVBLICAE,spes rei pvblicae
DIOCLETIANVS P F AVG,diocletianvs pivs felix avgvstvs
SPES REI _ PVBLICE,spes rei publice
MAXENTIVS P F AVG,maxentivs pivs felix avgvstvs
