pvblivus carisivs legatvs avgvsti,pvblivs carisivs legatvs avgvsti
C MARIVS C F TRO IIIVIR,caivs marivs caii filivs tromentinvs trivmvir
C MARIVS TRO IIIVIR,caivs marivs tromentinvs trivmvir
P STOLO IIIVIR,pvblivs stolo trivmvir
P STOLO IIIVIR A A A F F,pvblivs stolo trivmvir aere avro argento flando ferivndo
A LICIN NERVA SILIAN IIIVIR A A A F F,avlvs licinivs nerva silianvs trivmvir aere avro argento flando ferivndo
APRONIVS MESSALLA IIIVIR,apronivs messalla trivmvir
APRONIVS SISENNA IIIVIR,apronivs sisenna trivmvir
C ANTIST VETVS IIIVIR APOLLINI ACTIO,caivs antistivs vetvs trivmvir apollini actio
C ANTISTI VETVS IIIVIR,caivs antistivs vetvs trivmvir
C ANTISTI VETVS IIIVIR APOLLINI ACTIO,caivs antistivs vetvs trivmvir apollini actio
C ANTISTIVS REGINVS IIIVIR,caivs antistivs reginvs vetvs trivmvir
C ANTISTVS VETVS IIIVIR,caivs antistivs vetvs trivmvir
C ASINIVS C F GALLVS IIIVIR A A A F F,caivs antistivs caii filivs gallvs trivmvir aere avro argento flando ferivndo
GALVS APRONIVS IIIVIR,galvs apronivs trivmvir
GALVS MESSALLA IIIVIR,galvs messalla trivmvir
GALVS SISENNA IIIVIR,galvs sisenna trivmvir
L CANINIVS GALLVS IIIVIR,lvcivs caninvs gallvs trivmvir
