AC IT IB,
ADLOCVT COH,
ADLOCVT COH S C,
AGRIPP AVG DIVI CL AVD NERONIS CAES MATER,
AGRIPP AVG DIVI CL AVD NERONIS CAES MATER EX S C,
AGRIPP AVG DIVI CLAVD NERONIS CAES MATER EX S C,
AGRIPPINA AVGVSTA MATER AVGVSTI,
AGRIPPINA AVGVSTA MATER AVGVSTI KK,
ANNONA AVGVSTI CERES,
ANNONA AVGVSTI CERES S C,
ARA PACIS S C,
ARMENIAC,
AVGVSTI S POR OST C,
AVGVSTVS AVGVSTA,
AVGVSTVS GERMANICVS,
CER QVINQ RMA CO S S C,
CER QVINQ ROM CO S C,
CER QVINQ ROM CO S S C,
CER QVINQ ROM CON S C,
CER QVINQ ROMAE CON S C,
CER QVINQ ROMAE CONS S C,
CERT QVINQ ROM CO S S C,
CERT QVINQ ROM CON S S C,
CERTA QVINQ ROM CO S S C,
CERTA QVINQ ROM CON S C,
CERTA QVINQ ROM CON S S C,
CERTAM QVINQ ROM CO,
CERTAMEN QVINQ ROM CO,
CONG I DAT POP S C,
CONG II DAT POP,
CONG II DAT POP R,
CONG II DAT POP S C,
DECVRSIO,
DIVOS CLAVD AVGVST GERMANIC PATER AVG,
DIVVS CLAVDIVS AVGVSTVS,
EX S C,
GENIO AVGVSTI,
GENIO AVGVSTI S C,
GENIO AVGVSTI S C I,
GER P M TR P IMP P P S C,
GER PON MAX TR P IMP P P,
IANVM CLVSIT PACE P R TERRA MARIQ PARTA,
IMP NERO CAESAR AVG,imperator nero caesar avgvstvs
IMP NERO CAESAR AVG GERM,imperator nero caesar avgvstvs germanicvs
IMP NERO CAESAR AVG GERMANIC,imperator nero caesar avgvstvs germanicvs
IMP NERO CAESAR AVG P M TR P P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CAESAR AVG P M TR POT P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CAESAR AVG P MAX,imperator nero caesar avgvstvs pontifex maximvs
IMP NERO CAESAR AVG P MAX TR P P,
IMP NERO CAESAR AVG P MAX TR P P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CAESAR AVG P MAX TR POT P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CAESAR AVG P MAX TRIB POT P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CAESAR AVG P P,imperator nero caesar avgvstvs pater patriae
IMP NERO CAESAR AVG PONT,imperator nero caesar avgvstvs pontifex
IMP NERO CAESAR AVG PONT MAX TR P P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CAESAR AVG PONT MAX TR POT P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CAESAR AVG PONTIF,imperator nero caesar avgvstvs pontifex
IMP NERO CAESAR AVG PONTIF MAX TRIB POT P P,imperator nero caesar avgvstvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CAESAR AVGVSTVS,imperator nero caesar avgvstvs
IMP NERO CLAVD CAESAR AVG GER P M TR P P P,imperator nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate pater patriae
IMP NERO CLAVD CAESAR AVG GERM P M TR P XIII P P,imperator nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate ⅩⅢ pater patriae
IMP NERO CLAVD CAESAR AVG GERM P M TR P XIV P P,imperator nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate ⅩⅣ pater patriae
IMP NERO CLAVDIVS CAESAR AVG GER P M TR PPP,imperator nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate pater patriae
IVPPITER CVSTOS,
MAC AVG,
MAC AVG S C,
MAC AVG S C II,
MAX TRIB POT P P S C,
NERO CAE AVG IMP,nero caesar avgvstvs imperator
NERO CAES AVG IMP,nero caesar avgvstvs imperator
NERO CAESAR,nero caesar
NERO CAESAR AVG GER IMP,nero caesar avgvstvs germanicvs imperator
NERO CAESAR AVG GERM IMP,nero caesar avgvstvs germanicvs imperator
NERO CAESAR AVG IMP,nero caesar avgvstvs impertor
NERO CAESAR AVG IMP TR POT P P,nero caesar avgvstvs imperator tribvnicia potestate pater patriae
NERO CAESAR AVG IMP TR POT XI P P P,
NERO CAESAR AVGVSTVS,nero caesar avgvstvs
NERO CALV CAESAR AVG GER,
NERO CL CAE AVG,nero clavdivs caesar avgvstvs
NERO CL CAE AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CL CAES AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CL DIVI F CAES AVG P M TR P II,
NERO CLA CA AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CLA CAE AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CLA CAE AVG GERM,nero clavdivs caesar avgvstvs germanicvs
NERO CLA CAES AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CLAV CAE AVG,nero clavdivs caesar avgvstvs
NERO CLAV CAE AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CLAV CAE AVG GER P M TR P IM,nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate imperator
NERO CLAV CAESAR AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAES AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG,nero clavdivs caesar avgvstvs
NERO CLAVD CAESAR AVG GE,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG GER,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG GER P M TR IMP P P,nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate imperator pater patriae
NERO CLAVD CAESAR AVG GER P M TR P IMP,nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate imperator
NERO CLAVD CAESAR AVG GER P M TR P IMP P,
NERO CLAVD CAESAR AVG GERM,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG GERM P M TR P IMP,nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate imperator
NERO CLAVD CAESAR AVG GERM P M TR P IMP P,
NERO CLAVD CAESAR AVG GERM P M TR P IMP P P,nero clavdivs caesar avgvstvs germanicvs pontifex maximvs tribvnicia potestate imperator pater patriae
NERO CLAVD CAESAR AVG GERMA,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG GERMAN,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG GERMANI,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG GERMANIC,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG GERMANICV,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD CAESAR AVG GERMANICVS,nero clavdivs caesar avgvstvs germanicvs
NERO CLAVD DIVI CLAVD F CAESAR AVG GERM,
NERO CLAVD DIVI CLAVD F CAESAR AVG GERMA,
NERO CLAVD DIVI CLAVD F CAESAR AVG GERMANI,
NERO CLAVD DIVI F CAES AVG GERM IMP TR P COS,
NERO CLAVDIVS CAESAR AVG GER P M TR P IMP P,
