AEQVITAS AVGSTI S C,aeqvitas avgvsti senatvs consvlto
AEQVITAS AVGVS S C,aeqvitas avgvsti senatvs consvlto
AEQVITAS AVGVST S C,aeqvitas avgvsti senatvs consvlto
AEQVITAS AVGVSTI S C,aeqvitas avgvsti senatvs consvlto
AETERNIT AVG S C,aeternitas avgvsti senatvs consvlto
AETERNIT AVGVST S C,avgvsti senatvs consvlto
AETERNIT AVGVSTI S C,avgvsti senatvs consvlto
AETERNITAS AVGVST S C,avgvsti senatvs consvlto
AETERNITAS AVGVSTI S C,avgvsti senatvs consvlto
AETERNITAS P R S C,aeternitas popvli romani senatvs consvlto
AETERNITATI AVGVST S C,aeternitati popvli romani senatvs consvlto
AETERNITATI AVGVSTI S C,aeternitati popvli romani senatvs consvlto
AGRIPPINA M F GERMANICI CAESARIS,agrippina marci filia germanici caesaris
ANNONA AVG,annona avgvsti
ANNONA AVG S C,annona avgvsti senatvs consvlto
ANNONA AVGVST S C,annona avgvsti senatvs consvlto
ANNONA AVGVSTI S C,annona avgvsti senatvs consvlto
ANTIOCHIA,antiochia
AVG,avgvstvs
AVG GERM,avgvstvs germanicvs
AVGVR PON MAX,avgvr pontifex maximvs
AVGVR TRI POT,avgvr tribvnicia potestate
AVGVSTI VICTORIA S C,avgvsti victoria senatvs consvlto
BONVS EVENTVS AVGVSTI,bonvs eventvs avgvsti
CAES AVG F,caesar avgvsti filivs
CAES AVG F COS DES IMP AVG F COS DESIG ITR S C,
CAES AVG F DES IMP AVG F COS DES IT S C,
CAES AVG F DES IMP AVG F COS DES ITE S C,
CAES AVG F DES IMP AVG F COS DES ITER S C,
CAES AVG F DESIG IMP AVG F COS DESIG ITE S C,
CAES AVG F DESIG IMP AVG F COS DESIG ITER S C,
CAES AVG F DOMIT COS II,
CAES AVG F DOMIT COS III,
CAES AVG F DOMIT COS IIII,
CAES AVG F DOMITIAN COS II,
CAES AVG F DOMITIANVS,
CAES DIVI AVG VESP F DOMITIAN COS VII,
CAES DIVI AVG VESP F DOMITIANVS COS VII,
CAES DIVI F DOMITIANVS COS VII,
CAES DIVI VESP F DOMITIAN COS VII,
CAES DIVI VESP F DOMITIANIANVS COS VII,
CAES DIVI VESP F DOMITIANVS COS VII,
CAESAR AVG F COS CAESAR AVG F PR,
CAESAR AVG F COS CAESAR AVG F PR S C,
CAESAR AVG F DES IMP AVG DES IT S C,
CAESAR AVG F DES IMP AVG F COS DES II S C,
CAESAR AVG F DOMITIAN COS II,caesar avgvsti filivs domitianvs consvl Ⅱ
CAESAR AVG F DOMITIAN COS III,caesar avgvsti filivs domitianvs consvl Ⅲ
CAESAR AVG F DOMITIAN COS IV,caesar avgvsti filivs domitianvs consvl Ⅳ
CAESAR AVG F DOMITIAN COS V,caesar avgvsti filivs domitianvs consvl Ⅴ
CAESAR AVG F DOMITIAN COS VI,caesar avgvsti filivs domitianvs consvl Ⅵ
CAESAR AVG F DOMITIANVS,caesar avgvsti filivs domitianvs
CAESAR AVG F DOMITIANVS COS DES II,caesar avgvsti filivs domitianvs consvl designatvs Ⅱ
CAESAR AVG F DOMITIANVS COS II,caesar avgvsti filivs domitianvs consvl Ⅱ
CAESAR AVG F DOMITIANVS COS IIII,caesar avgvsti filivs domitianvs consvl Ⅳ
CAESAR AVG F DOMITIANVS COS V,caesar avgvsti filivs domitianvs consvl Ⅴ
CAESAR AVG F DOMITIANVS COS VI,caesar avgvsti filivs domitianvs consvl Ⅵ
CAESAR AVG F DOMITIANVS COS VII,caesar avgvsti filivs domitianvs consvl Ⅶ
CAESAR AVG FIL DOMITIANVS COS V,caesar avgvsti filivs domitianvs consvl Ⅴ
CAESAR AVGVSTI F,caesar avgvsti filivs
CAESAR DIVI AVG F DOMITIANVS COS VII,
CAESAR DIVI AVG VESP F DOMITIAN COS VII,
CAESAR DIVI AVG VESP F DOMITIANVS COS VII,
CAESAR DIVI F DOMITIANVS COS VII,
CAESAR DOMIT COS II,
CAESAR DOMITIAN COS DES II S C,
CAESAR DOMITIAN COS II S C,
CAESAR DOMITIANVS AVG F,
CAESAR VESPASIANVS AVG,
CAPIT RESTIT,
CAPTA IVDAEA S C,
CENS P P P,censor perpetvvs pater patriae
CENS PER P P,censor perpetvvs pater patriae
CERES AVG S C,ceres avgvsta senatvs consvlto
CERES AVGVST,ceres avgvsta
CERES AVGVST S C,ceres avgvsta senatvs consvlto
CERES AVGVSTA S C,ceres avgvsta senatvs consvlto
CIVITATIBVS ASIAE RESTITVT,
COM ASIA,
CONCOR AVG S C,concordia avgvsti senatvs consvlto
CONCORD AVGVST S C,concordia avgvsti senatvs consvlto
CONCORDIA AVG,concordia avgvsti
CONCORDIA AVG S C,concordia avgvsti senatvs consvlto
CONCORDIA AVGVST,concordia avgvsti
CONCORDIA AVGVST S C,concordia avgvsti senatvs consvlto
CONCORDIA AVGVSTA,concordia avgvsta
CONCORDIA AVGVSTI,concordia avgvsti
CONCORDIA AVGVSTI S C,concordia avgvsti senatvs consvlto
CONCORDIA SENATVI S C,concordia avgvsti senatvs consvlto
CONGIAR PRIMVM PR DAT S C,
CONSEN EXERCIT,
CONSENSVS EXERCIT,
CONSENSVS EXERCITVS,
CONS[ENSVS] EXERCITVVM,
COS DESIG III TR POT,
COS DESIG III TR POT S C,
COS III FORT RED,
COS III TR POT,consvl Ⅲ tribvnicia potestate
COS ITER,consvl iter
COS ITER FORT RED,
COS ITER FORT RED S C,
COS ITER TR POT,
COS ITER TR POT S C,
COS TR POT,
COS V,
COS V PRINC IVVENT S C,
COS V PRINCEPS IVVENTVT S C,
COS VI,
COS VII,
COS VII DES VIII P P,
COS VIII,
COS VIIII,
COS XIII,
COS XIIII,
COS XIIII LVD SAEC A POP S C,
COS XIIII LVD SAEC FEC,
COS XIIII LVD SAEC FEC S C,
COS XIIII LVD SAEC FECIT S C,
COS XIIII LVD SAEC S C,
COS XIIII S C,
COS XVII CENS P P P,
COS XVII CENS P P P G,
DE IVDAEIS,
DE JVDAEIS,
DEVICTA IVDAEA S C,
